Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-09-22,321.5,337.55,321.5,337.1,,11362.0,3786631.0,,,
2017-09-21,322.7,323.65,320.25,323.25,,5043.0,1625926.0,,,
2017-09-20,322.5,323.85,319.4,322.05,,5629.0,1810518.0,,,
2017-09-19,322.1,326.65,320.6,322.7,,10665.0,3451508.0,,,
2017-09-18,328.0,332.2,324.15,324.15,,15511.0,5078499.0,,,
2017-09-15,338.45,338.9,330.25,330.25,,29575.0,9814915.0,,,
2017-09-14,342.65,342.65,338.2,339.1,,5855.0,1988085.0,,,
2017-09-13,343.5,343.5,338.9,342.1,,5626.0,1920590.0,,,
2017-09-12,343.95,345.15,341.0,343.2,,5374.0,1841510.0,,,
2017-09-11,343.15,349.05,340.85,342.3,,7076.0,2429953.0,,,
2017-09-08,345.05,347.5,342.15,345.5,,3927.0,1355172.0,,,
2017-09-07,350.2,350.2,346.7,348.45,,4354.0,1516072.0,,,
2017-09-06,349.8,350.15,346.55,349.5,,3351.0,1168555.0,,,
2017-09-05,349.05,350.95,348.15,349.9,,2013.0,704535.0,,,
2017-09-04,347.75,348.9,344.9,348.15,,2184.0,759391.0,,,
2017-09-01,346.8,353.6,346.8,348.0,,5955.0,2083539.0,,,
2017-08-31,342.85,347.85,342.85,345.85,,5484.0,1897672.0,,,
2017-08-30,341.0,343.05,339.2,342.1,,1921.0,656166.0,,,
2017-08-29,341.0,345.5,336.3,339.9,,4124.0,1399612.0,,,
2017-08-28,347.0,348.0,343.4,346.85,,2226.0,770289.0,,,
2017-08-25,349.4,350.55,347.6,348.2,,2277.0,794536.0,,,
2017-08-24,355.0,355.0,346.65,349.9,,4464.0,1564674.0,,,
2017-08-23,347.75,356.15,340.55,354.45,,17618.0,6154878.0,,,
2017-08-22,350.25,351.1,348.95,349.0,,3697.0,1293616.0,,,
2017-08-21,355.5,356.2,349.15,349.2,,3230.0,1133697.0,,,
2017-08-18,352.8,354.8,350.85,353.5,,5243.0,1852119.0,,,
2017-08-17,356.85,357.85,354.7,357.0,,2805.0,1000476.0,,,
2017-08-16,356.35,358.9,354.75,355.15,,2121.0,755702.0,,,
2017-08-15,359.95,359.95,355.4,356.0,,4157.0,1485505.0,,,
